Maker,Type,Coil Center,Thickness ,Max lines,Suggest Min Trim loss (mm),Max MC weight (KG),Min MC Width (mm),Max MC Width (mm),Min Trim loss (mm)
NSSC,All,NST,1.5<T≤2,25,8,20000,50,1300,8
NSSC,All,NST,2<T≤2.5,16,8,20000,50,1300,8
NSSC,All,NST,2.5<T≤3,11,8,20000,50,1300,8
NSSC,All,NST,3<T≤3.5,8,9,20000,50,1300,9
NSSC,All,NST,3.5<T≤4,6,11,20000,50,1300,11
NSSC,All,NST,4<T≤4.5,4,13,20000,50,1300,13
POSCOVST,All,NST,≤1.5,30,8,20000,50,1300,8
POSCOVST,All,NST,1.5<T≤2,25,8,20000,50,1300,8
POSCOVST,All,NST,2<T≤2.5,16,8,20000,50,1300,8
POSCOVST,All,NST,2.5<T≤3,11,8,20000,50,1300,8
POSCOVST,All,NST,3<T≤3.5,8,9,20000,50,1300,9
POSCOVST,All,NST,3.5<T≤4,6,11,20000,50,1300,11
POSCOVST,All,NST,4<T≤4.5,4,13,20000,50,1300,13
CSC ,All,NST,≤1.5,30,8,20000,50,1300,8
CSC ,All,NST,1.5<T≤2,25,8,20000,50,1300,8
CSC ,All,NST,2<T≤2.5,16,8,20000,50,1300,8
CSC ,All,NST,2.5<T≤3,11,8,20000,50,1300,8
CSC ,All,NST,3<T≤3.5,8,9,20000,50,1300,9
CSC ,All,NST,3.5<T≤4,6,11,20000,50,1300,11
CSC ,All,NST,4<T≤4.5,4,13,20000,50,1300,13
SMI,All,NST,≤1.5,30,8,20000,50,1300,8
SMI,All,NST,1.5<T≤2,25,8,20000,50,1300,8
SMI,All,NST,2<T≤2.5,16,8,20000,50,1300,8
SMI,All,NST,2.5<T≤3,11,8,20000,50,1300,8
SMI,All,NST,3<T≤3.5,8,9,20000,50,1300,9
SMI,All,NST,3.5<T≤4,6,11,20000,50,1300,11
SMI,All,NST,4<T≤4.5,4,13,20000,50,1300,13
